,order_id,customer_id,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,review_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,payment_sequential,payment_type,payment_installments,payment_value,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,product_name_length,product_description_length,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_category_english,seller_zip_code_prefix,seller_city,seller_state,tot_order_amt
count,114067,114067,114067,114067,114067,114067,114067,114067,114067.0,114067,114067,114067,114067.0,13661,48220,114067,114067,114067.0,114067,114067.0,114067.0,114067.0,114067,114067,114067,114067.0,114067.0,114067.0,114067.0,114067.0,114066.0,114066.0,114066.0,114066.0,114067,114067.0,114067,114067,114067.0
unique,95124,95124,94620,87125,78919,94336,444,92076,14844.0,4073,27,94943,,4408,34585,627,94796,,4,,,21.0,31620,2914,90126,,,,,,,,,,73,2136.0,588,22,
top,895ab968e7bb0d5659d16cd74cd1650c,270c23a11d024a44c896d1894b261a83,2017-08-08 20:26:31,2017-08-08 20:43:31,2017-08-10 11:58:14,2017-08-14 12:46:18,2017-12-20 00:00:00,9a736b248f67d166d2fbb006bcb877c3,24220.0,sao paulo,SP,eef5dbca8d37dfce6db7d7b16dd0525e,,Recomendo,Muito bom,2017-12-19 00:00:00,2017-08-17 22:17:55,,credit_card,,,1.0,aca2eb7d00ea1a7b8ebd4e68314663af,4a3ca9315b744ce9f8e9374361493884,2017-08-14 20:43:31,,,,,,,,,,bed_bath_table,14940.0,sao paulo,SP,
freq,63,63,63,63,63,63,644,75,152.0,18001,48121,63,,492,253,526,63,,84163,,,99862.0,529,2116,63,,,,,,,,,,11808,8188.0,28431,81369,
first,,,2016-10-03 09:44:50,2016-10-04 09:43:32,2016-10-08 10:34:01,2016-10-11 13:46:32,2016-10-27 00:00:00,,,,,,,,,2016-10-15 00:00:00,2016-10-16 03:20:17,,,,,,,,2016-10-08 10:34:01,,,,,,,,,,,,,,
last,,,2018-08-29 15:00:37,2018-08-29 15:10:26,2018-09-11 19:48:28,2018-10-17 13:22:46,2018-10-25 00:00:00,,,,,,,,,2018-08-31 00:00:00,2018-10-29 12:27:35,,,,,,,,2020-04-09 22:35:08,,,,,,,,,,,,,,
mean,,,,,,,,,,,,,4.067232416036189,,,,,1.0905257436418947,,2.9460843188652284,172.15487669526925,,,,,120.03116887456049,20.0099897428726,48.80316831335969,784.8193605512549,2.2065014421348854,2108.9642575351113,30.290603685585538,16.60606140304736,23.103457647326987,,,,,140.04115861729233
std,,,,,,,,,,,,,1.3578030341952376,,,,,0.6845046044372785,,2.7817035655474074,266.1827900080746,,,,,182.48817306850512,15.726760139884501,10.016614612409539,650.5831168702701,1.7180059243678267,3768.844163673065,16.157986140009807,13.439832287413651,11.738485815370518,,,,,189.55537790628074
min,,,,,,,,,,,,,1.0,,,,,1.0,,0.0,0.0,,,,,0.85,0.0,5.0,4.0,1.0,25.0,7.0,2.0,6.0,,,,,6.08
25%,,,,,,,,,,,,,4.0,,,,,1.0,,1.0,60.95,,,,,39.9,13.08,42.0,345.0,1.0,300.0,18.0,8.0,15.0,,,,,55.269999999999996
50%,,,,,,,,,,,,,5.0,,,,,1.0,,2.0,108.04,,,,,74.9,16.32,52.0,600.0,1.0,700.0,25.0,13.0,20.0,,,,,91.78999999999999
75%,,,,,,,,,,,,,5.0,,,,,1.0,,4.0,189.37,,,,,133.0,21.19,57.0,983.0,3.0,1800.0,38.0,20.0,30.0,,,,,157.305
max,,,,,,,,,,,,,5.0,,,,,26.0,,24.0,13664.08,,,,,6735.0,409.68,76.0,3992.0,20.0,40425.0,105.0,105.0,118.0,,,,,6929.31
